date,holiday_name,is_public_holiday
1978-11-01,Toussaint,1
1978-11-11,Armistice,1
1978-12-25,Noël,1
1979-01-01,Jour de l'an,1
1979-04-16,Lundi de Pâques,1
1979-05-01,Fête du Travail,1
1979-05-24,Ascension,1
1979-06-04,Lundi de Pentecôte,1
1979-07-14,Fête nationale,1
1979-08-15,Assomption,1
1979-11-01,Toussaint,1
1979-11-11,Armistice,1
1979-12-25,Noël,1
1980-01-01,Jour de l'an,1
1980-04-07,Lundi de Pâques,1
1980-05-01,Fête du Travail,1
1980-05-15,Ascension,1
1980-05-26,Lundi de Pentecôte,1
1980-07-14,Fête nationale,1
1980-08-15,Assomption,1
1980-11-01,Toussaint,1
1980-11-11,Armistice,1
1980-12-25,Noël,1
1981-01-01,Jour de l'an,1
1981-04-20,Lundi de Pâques,1
1981-05-01,Fête du Travail,1
1981-05-28,Ascension,1
1981-06-08,Lundi de Pentecôte,1
1981-07-14,Fête nationale,1
1981-08-15,Assomption,1
1981-11-01,Toussaint,1
1981-11-11,Armistice,1
1981-12-25,Noël,1
1982-01-01,Jour de l'an,1
1982-04-12,Lundi de Pâques,1
1982-05-01,Fête du Travail,1
1982-05-08,Fête de la Victoire,1
1982-05-20,Ascension,1
1982-05-31,Lundi de Pentecôte,1
1982-07-14,Fête nationale,1
1982-08-15,Assomption,1
1982-11-01,Toussaint,1
1982-11-11,Armistice,1
1982-12-25,Noël,1
1983-01-01,Jour de l'an,1
1983-04-04,Lundi de Pâques,1
1983-05-01,Fête du Travail,1
1983-05-08,Fête de la Victoire,1
1983-05-12,Ascension,1
1983-05-23,Lundi de Pentecôte,1
1983-07-14,Fête nationale,1
1983-08-15,Assomption,1
1983-11-01,Toussaint,1
1983-11-11,Armistice,1
1983-12-25,Noël,1
1984-01-01,Jour de l'an,1
1984-04-23,Lundi de Pâques,1
1984-05-01,Fête du Travail,1
1984-05-08,Fête de la Victoire,1
1984-05-31,Ascension,1
1984-06-11,Lundi de Pentecôte,1
1984-07-14,Fête nationale,1
1984-08-15,Assomption,1
1984-11-01,Toussaint,1
1984-11-11,Armistice,1
1984-12-25,Noël,1
1985-01-01,Jour de l'an,1
