date,is_christian_holiday,is_jewish_holiday,is_muslim_holiday,is_chinese_holiday
1913-12-26,1,0,0,0
1913-12-28,1,0,0,0
1914-01-01,1,0,0,0
1914-01-03,0,0,0,1
1914-01-06,1,0,0,0
1914-01-18,0,0,0,1
1914-01-26,0,0,0,1
1914-02-02,1,0,0,0
1914-02-09,0,0,0,1
1914-02-25,1,0,0,0
1914-03-19,1,0,0,0
1914-03-25,1,0,0,0
1914-04-05,1,0,0,1
1914-04-09,1,0,0,0
1914-04-10,1,0,0,0
1914-04-12,1,0,0,0
1914-04-13,1,0,0,0
1914-04-19,1,0,0,0
1914-05-21,1,0,0,0
1914-05-29,0,0,0,1
1914-05-31,1,0,0,0
1914-06-01,1,0,0,0
1914-06-07,1,0,0,0
1914-06-11,1,0,0,0
1914-06-19,1,0,0,0
1914-06-24,1,0,0,0
1914-06-29,1,0,0,0
1914-08-06,1,0,0,0
1914-08-15,1,0,0,0
1914-08-27,0,0,0,1
1914-09-04,0,0,0,1
1914-09-08,1,0,0,0
1914-09-14,1,0,0,0
1914-10-04,0,0,0,1
1914-10-27,0,0,0,1
1914-11-01,1,0,0,0
1914-11-02,1,0,0,0
1914-12-08,1,0,0,0
1914-12-23,0,0,0,1
1914-12-25,1,0,0,0
1914-12-26,1,0,0,0
1914-12-28,1,0,0,0
1915-01-01,1,0,0,0
1915-01-06,1,0,0,0
1915-01-22,0,0,0,1
1915-02-02,1,0,0,0
1915-02-06,0,0,0,1
1915-02-14,0,0,0,1
1915-02-17,1,0,0,0
1915-02-28,0,0,0,1
1915-03-19,1,0,0,0
1915-03-25,1,0,0,0
1915-03-28,1,0,0,0
1915-04-01,1,0,0,0
1915-04-02,1,0,0,0
1915-04-04,1,0,0,0
1915-04-05,1,0,0,0
1915-04-06,0,0,0,1
1915-04-11,1,0,0,0
1915-05-13,1,0,0,0
1915-05-23,1,0,0,0
1915-05-24,1,0,0,0
1915-05-30,1,0,0,0
1915-06-03,1,0,0,0
1915-06-11,1,0,0,0
1915-06-17,0,0,0,1
1915-06-24,1,0,0,0
1915-06-29,1,0,0,0
1915-08-06,1,0,0,0
1915-08-15,1,0,0,0
1915-08-17,0,0,0,1
1915-08-25,0,0,0,1
1915-09-08,1,0,0,0
1915-09-14,1,0,0,0
1915-09-23,0,0,0,1
1915-10-17,0,0,0,1
1915-11-01,1,0,0,0
1915-11-02,1,0,0,0
1915-12-08,1,0,0,0
1915-12-23,0,0,0,1
1915-12-25,1,0,0,0
1915-12-26,1,0,0,0
1915-12-28,1,0,0,0
1916-01-01,1,0,0,0
1916-01-06,1,0,0,0
1916-01-12,0,0,0,1
1916-01-27,0,0,0,1
1916-02-02,1,0,0,0
1916-02-03,0,0,0,1
1916-02-17,0,0,0,1
1916-03-08,1,0,0,0
1916-03-19,1,0,0,0
1916-03-25,1,0,0,0
1916-04-05,0,0,0,1
1916-04-16,1,0,0,0
1916-04-20,1,0,0,0
1916-04-21,1,0,0,0
1916-04-23,1,0,0,0
1916-04-24,1,0,0,0
1916-04-30,1,0,0,0
1916-06-01,1,0,0,0
1916-06-05,0,0,0,1
1916-06-11,1,0,0,0
1916-06-12,1,0,0,0
1916-06-18,1,0,0,0
1916-06-22,1,0,0,0
1916-06-24,1,0,0,0
1916-06-29,1,0,0,0
1916-06-30,1,0,0,0
1916-08-05,0,0,0,1
1916-08-06,1,0,0,0
1916-08-13,0,0,0,1
1916-08-15,1,0,0,0
1916-09-08,1,0,0,0
1916-09-12,0,0,0,1
1916-09-14,1,0,0,0
1916-10-05,0,0,0,1
1916-11-01,1,0,0,0
1916-11-02,1,0,0,0
1916-12-08,1,0,0,0
1916-12-22,0,0,0,1
1916-12-25,1,0,0,0
1916-12-26,1,0,0,0
1916-12-28,1,0,0,0
1917-01-01,1,0,0,1
1917-01-06,1,0,0,0
1917-01-16,0,0,0,1
1917-01-23,0,0,0,1
1917-02-02,1,0,0,0
1917-02-06,0,0,0,1
1917-02-21,1,0,0,0
1917-03-19,1,0,0,0
1917-03-25,1,0,0,0
1917-04-01,1,0,0,0
1917-04-05,1,0,0,1
1917-04-06,1,0,0,0
1917-04-08,1,0,0,0
1917-04-09,1,0,0,0
1917-04-15,1,0,0,0
1917-05-17,1,0,0,0
1917-05-27,1,0,0,0
1917-05-28,1,0,0,0
1917-06-03,1,0,0,0
1917-06-07,1,0,0,0
1917-06-15,1,0,0,0
1917-06-23,0,0,0,1
1917-06-24,1,0,0,0
1917-06-29,1,0,0,0
1917-08-06,1,0,0,0
1917-08-15,1,0,0,0
1917-08-24,0,0,0,1
1917-09-01,0,0,0,1
1917-09-08,1,0,0,0
1917-09-14,1,0,0,0
1917-09-30,0,0,0,1
1917-10-24,0,0,0,1
1917-11-01,1,0,0,0
1917-11-02,1,0,0,0
1917-12-08,1,0,0,0
1917-12-22,0,0,0,1
1917-12-25,1,0,0,0
1917-12-26,1,0,0,0
1917-12-28,1,0,0,0
1918-01-01,1,0,0,0
1918-01-06,1,0,0,0
1918-01-20,0,0,0,1
1918-02-02,1,0,0,0
1918-02-04,0,0,0,1
1918-02-11,0,0,0,1
1918-02-13,1,0,0,0
1918-02-25,0,0,0,1
1918-03-19,1,0,0,0
1918-03-24,1,0,0,0
1918-03-25,1,0,0,0
1918-03-28,1,0,0,0
1918-03-29,1,0,0,0
1918-03-31,1,0,0,0
1918-04-01,1,0,0,0
1918-04-05,0,0,0,1
1918-04-07,1,0,0,0
1918-05-09,1,0,0,0
1918-05-19,1,0,0,0
1918-05-20,1,0,0,0
1918-05-26,1,0,0,0
1918-05-30,1,0,0,0
1918-06-07,1,0,0,0
1918-06-13,0,0,0,1
1918-06-24,1,0,0,0
1918-06-29,1,0,0,0
1918-08-06,1,0,0,0
1918-08-13,0,0,0,1
1918-08-15,1,0,0,0
1918-08-21,0,0,0,1
1918-09-08,1,0,0,0
1918-09-14,1,0,0,0
1918-09-19,0,0,0,1
1918-10-13,0,0,0,1
1918-11-01,1,0,0,0
1918-11-02,1,0,0,0
1918-12-08,1,0,0,0
1918-12-22,0,0,0,1
1918-12-25,1,0,0,0
1918-12-26,1,0,0,0
1918-12-28,1,0,0,0
1919-01-01,1,0,0,0
1919-01-06,1,0,0,0
1919-01-09,0,0,0,1
1919-01-24,0,0,0,1
1919-02-01,0,0,0,1
1919-02-02,1,0,0,0
1919-02-15,0,0,0,1
1919-03-05,1,0,0,0
1919-03-19,1,0,0,0
1919-03-25,1,0,0,0
1919-04-06,0,0,0,1
1919-04-13,1,0,0,0
1919-04-17,1,0,0,0
1919-04-18,1,0,0,0
1919-04-20,1,0,0,0
1919-04-21,1,0,0,0
1919-04-27,1,0,0,0
1919-05-29,1,0,0,0
1919-06-02,0,0,0,1
1919-06-08,1,0,0,0
1919-06-09,1,0,0,0
1919-06-15,1,0,0,0
1919-06-19,1,0,0,0
1919-06-24,1,0,0,0
1919-06-27,1,0,0,0
1919-06-29,1,0,0,0
1919-08-02,0,0,0,1
1919-08-06,1,0,0,0
1919-08-10,0,0,0,1
1919-08-15,1,0,0,0
1919-09-08,1,0,0,0
1919-09-14,1,0,0,0
1919-10-08,0,0,0,1
1919-11-01,1,0,0,1
1919-11-02,1,0,0,0
1919-12-08,1,0,0,0
1919-12-23,0,0,0,1
1919-12-25,1,0,0,0
1919-12-26,1,0,0,0
1919-12-28,1,0,0,0
1920-01-01,1,0,0,0
1920-01-06,1,0,0,0
1920-01-28,0,0,0,1
1920-02-02,1,0,0,0
1920-02-12,0,0,0,1
1920-02-18,1,0,0,0
1920-02-20,0,0,0,1
1920-03-05,0,0,0,1
1920-03-19,1,0,0,0
1920-03-25,1,0,0,0
1920-03-28,1,0,0,0
1920-04-01,1,0,0,0
1920-04-02,1,0,0,0
1920-04-04,1,0,0,0
1920-04-05,1,0,0,1
1920-04-11,1,0,0,0
1920-05-13,1,0,0,0
1920-05-23,1,0,0,0
1920-05-24,1,0,0,0
1920-05-30,1,0,0,0
1920-06-03,1,0,0,0
1920-06-11,1,0,0,0
1920-06-20,0,0,0,1
1920-06-24,1,0,0,0
1920-06-29,1,0,0,0
1920-08-06,1,0,0,0
1920-08-15,1,0,0,0
1920-08-20,0,0,0,1
1920-08-28,0,0,0,1
1920-09-08,1,0,0,0
1920-09-14,1,0,0,0
1920-09-26,0,0,0,1
1920-10-20,0,0,0,1
1920-11-01,1,0,0,0
1920-11-02,1,0,0,0
1920-12-08,1,0,0,0
1920-12-22,0,0,0,1
1920-12-25,1,0,0,0
1920-12-26,1,0,0,0
1920-12-28,1,0,0,0
1921-01-01,1,0,0,0
1921-01-06,1,0,0,0
1921-01-16,0,0,0,1
1921-01-31,0,0,0,1
1921-02-02,1,0,0,0
1921-02-08,0,0,0,1
1921-02-09,1,0,0,0
1921-02-22,0,0,0,1
1921-03-19,1,0,0,0
1921-03-20,1,0,0,0
1921-03-24,1,0,0,0
1921-03-25,1,0,0,0
1921-03-27,1,0,0,0
1921-03-28,1,0,0,0
1921-04-03,1,0,0,0
1921-04-05,0,0,0,1
1921-05-05,1,0,0,0
1921-05-15,1,0,0,0
1921-05-16,1,0,0,0
1921-05-22,1,0,0,0
1921-05-26,1,0,0,0
1921-06-03,1,0,0,0
1921-06-10,0,0,0,1
1921-06-24,1,0,0,0
1921-06-29,1,0,0,0
1921-08-06,1,0,0,0
1921-08-10,0,0,0,1
1921-08-15,1,0,0,0
1921-08-18,0,0,0,1
1921-09-08,1,0,0,0
1921-09-14,1,0,0,0
1921-09-16,0,0,0,1
1921-10-09,0,0,0,1
1921-11-01,1,0,0,0
1921-11-02,1,0,0,0
1921-12-08,1,0,0,0
1921-12-22,0,0,0,1
1921-12-25,1,0,0,0
1921-12-26,1,0,0,0
1921-12-28,1,0,0,0
1922-01-01,1,0,0,0
1922-01-05,0,0,0,1
1922-01-06,1,0,0,0
1922-01-20,0,0,0,1
1922-01-28,0,0,0,1
1922-02-02,1,0,0,0
1922-02-11,0,0,0,1
1922-03-01,1,0,0,0
1922-03-19,1,0,0,0
1922-03-25,1,0,0,0
1922-04-05,0,0,0,1
