date,is_market_holiday,market_holiday_name
1967-11-01,1,Toussaint
1967-12-25,1,Noël / Ramadan
1968-01-01,1,Aïd el-Fitr / Jour de l'an / Rosh Hashana
1968-04-15,1,Lundi de Pâques / Pessa'h (fête)
1968-05-01,1,Fête du Travail / Yom HaAtzmaout
1968-05-08,1,Fête de la Victoire
1968-05-23,1,Ascension
1968-06-03,1,Lundi de Pentecôte
1968-08-15,1,Assomption
1968-11-01,1,Toussaint
1968-11-11,1,Armistice 1918
1968-12-25,1,Noël
1969-01-01,1,Jour de l'an
1969-02-27,1,Aïd el-Adha
1969-04-07,1,Lundi de Pâques
1969-05-01,1,Fête du Travail / Pessa'h
1969-05-08,1,Fête de la Victoire
1969-05-15,1,Ascension
1969-05-26,1,Lundi de Pentecôte
1969-07-14,1,Fête nationale / Rosh Hashana
1969-08-15,1,Assomption
1969-11-11,1,1er jour de Ramadan / Armistice 1918 / Rosh Hashana
1969-12-10,1,Aïd el-Fitr / Rosh Hashana
1969-12-25,1,Noël
1970-01-01,1,Jour de l'an
1970-02-16,1,Aïd el-Adha
1970-03-30,1,Lundi de Pâques
1970-05-01,1,Fête du Travail
1970-05-07,1,Ascension / Rosh Hashana
1970-05-08,1,Fête de la Victoire
1970-05-18,1,Lundi de Pentecôte
1970-07-14,1,Fête nationale
1970-11-11,1,Armistice 1918 / Ramadan
1970-12-25,1,Hanoucca / Noël
1971-01-01,1,Jour de l'an
1971-02-05,1,Aïd el-Adha
1971-04-12,1,Lundi de Pâques / Pessa'h (fête)
1971-05-20,1,Ascension
1971-05-31,1,Lundi de Pentecôte
1971-07-14,1,Fête nationale
